NAMESPACE              NAME                                                 TYPE           CLUSTER-IP       EXTERNAL-IP                                                   PORT(S)                        AGE    SELECTOR
kyverno                kyverno-cleanup-controller-metrics                   ClusterIP      10.105.70.0      <none>                                                        8000/TCP                       25h    app.kubernetes.io/component=cleanup-controller,app.kubernetes.io/instance=kyverno,app.kubernetes.io/part-of=kyverno
kyverno                kyverno-reports-controller-metrics                   ClusterIP      10.103.129.245   <none>                                                        8000/TCP                       25h    app.kubernetes.io/component=reports-controller,app.kubernetes.io/instance=kyverno,app.kubernetes.io/part-of=kyverno
kyverno                kyverno-svc                                          ClusterIP      10.108.196.29    <none>                                                        443/TCP                        25h    app.kubernetes.io/component=admission-controller,app.kubernetes.io/instance=kyverno,app.kubernetes.io/part-of=kyverno
kyverno                kyverno-svc-metrics                                  ClusterIP      10.101.110.71    <none>                                                        8000/TCP                       25h    app.kubernetes.io/component=admission-controller,app.kubernetes.io/instance=kyverno,app.kubernetes.io/part-of=kyverno
metallb-system         metallb-webhook-service                              ClusterIP      10.109.120.254   <none>                                                        443/TCP                        77d    component=controller
observability          alertmanager-operated                                ClusterIP      None             <none>                                                        9093/TCP,9094/TCP,9094/UDP     42d    app.kubernetes.io/name=alertmanager
observability          loki                                                 ClusterIP      10.103.149.250   <none>                                                        3100/TCP,9095/TCP              42d    app.kubernetes.io/component=single-binary,app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability          loki-canary                                          ClusterIP      10.104.245.227   <none>                                                        3500/TCP                       42d    app.kubernetes.io/component=canary,app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability          loki-gateway                                         ClusterIP      10.100.166.74    <none>                                                        80/TCP                         42d    app.kubernetes.io/component=gateway,app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability          loki-headless                                        ClusterIP      None             <none>                                                        3100/TCP                       42d    app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability          loki-memberlist                                      ClusterIP      None             <none>                                                        7946/TCP                       42d    app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki,app.kubernetes.io/part-of=memberlist
observability          minio                                                ClusterIP      10.96.242.5      <none>                                                        9000/TCP                       42d    app=minio,release=minio
observability          minio-console                                        ClusterIP      10.104.199.242   <none>                                                        9001/TCP                       42d    app=minio,release=minio
observability          prometheus-operated                                  ClusterIP      None             <none>                                                        9090/TCP                       42d    app.kubernetes.io/name=prometheus
observability          prometheus-stack-grafana                             ClusterIP      10.102.248.239   <none>                                                        80/TCP                         42d    app.kubernetes.io/instance=prometheus-stack,app.kubernetes.io/name=grafana
observability          prometheus-stack-kube-prom-alertmanager              ClusterIP      10.99.99.97      <none>                                                        9093/TCP,8080/TCP              42d    alertmanager=prometheus-stack-kube-prom-alertmanager,app.kubernetes.io/name=alertmanager
observability          prometheus-stack-kube-prom-operator                  ClusterIP      10.110.175.127   <none>                                                        443/TCP                        42d    app=kube-prometheus-stack-operator,release=prometheus-stack
observability          prometheus-stack-kube-prom-prometheus                ClusterIP      10.106.154.0     <none>                                                        9090/TCP,8080/TCP              42d    app.kubernetes.io/name=prometheus,operator.prometheus.io/name=prometheus-stack-kube-prom-prometheus
observability          prometheus-stack-kube-state-metrics                  ClusterIP      10.100.40.70     <none>                                                        8080/TCP                       42d    app.kubernetes.io/instance=prometheus-stack,app.kubernetes.io/name=kube-state-metrics
observability          prometheus-stack-prometheus-node-exporter            ClusterIP      10.101.227.249   <none>                                                        9100/TCP                       42d    app.kubernetes.io/instance=prometheus-stack,app.kubernetes.io/name=prometheus-node-exporter
openclaw               openclaw                                             ClusterIP      10.108.30.74     <none>                                                        18789/TCP                      159m   app=openclaw
saas-app               saas-web-app                                         ClusterIP      10.107.143.119   <none>                                                        80/TCP                         36d    app=saas-web-app
saas-beautypro         beautypro                                            ClusterIP      10.107.218.74    <none>                                                        80/TCP                         35d    app=beautypro
saas-financeflow       financeflow                                          ClusterIP      10.111.1.238     <none>                                                        80/TCP                         36d    app=financeflow
saas-techcrm           techcrm                                              ClusterIP      10.107.33.126    <none>                                                        80/TCP                         35d    app=techcrm
saas-web-iis           saas-web-iis                                         ClusterIP      10.107.126.235   <none>                                                        80/TCP                         36d    app=saas-web-iis
